Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
SP,0.1036,14.18,2.6728,22.1613,1.341,49.1531,1.86,38.85,28.85
SGRP,0.2731,-4.694,1.288,121,0.083,35.3486,-0.04,1.271,1
SPKE,0.1948,48.5581,12.3671,22.1404,12.628,418.6539,1.2,10.05,22.45
SPKEP,null,null,null,null,null,null,null,null,null
ONCE,9.689,-60.0739,3.7153,null,3.839,0.2383,-7.63,90.08,62.59
SPAR,0.3055,9.8811,3.2723,38.6439,0.771,10.649,0.46,14.55,8.5
SPTN,0.0317,-6.8304,1.3476,6.6823,7.588,103.8785,-1.41,24.7,27.3
DWFI,null,null,null,null,0.292,null,null,23.905,25.6
SPPI,2.0736,-31.083,5.4337,null,5.417,10.8795,-1.07,19.33,7.38
SPRO,10.701,null,1.9957,null,4.663,0,-17.82,14.65,null
ANY,0.0677,-169.4264,1.6731,null,1.456,173.8985,-5.26,0.49,6.41
SPEX,1.6272,-70.1613,2.1259,0.6595,1.078,0,-0.6,1.05,1.0201
SPI,null,null,0.1919,null,0.307,null,null,0.3618,0.81
SAVE,1.3937,26.5225,1.7212,13.3153,10.611,84.6383,6.08,38.6,52.53
STXB,null,4.9957,null,null,null,92.2049,0.65,20.85,null
SPLK,1.3411,-32.1375,14.6567,null,8.823,0,-1.85,105.23,58.83
SPOK,2.1055,-4.9969,1.0846,35.5227,3.32,0,-0.76,15.55,17.45
SPWH,0.0114,44.4667,5.6568,13.1846,20.123,388.2305,0.42,5.75,5.26
SBPH,11.4017,-106.9389,5.0135,null,8.183,0,-2.48,12.6,13
FUND,null,null,null,null,0.359,null,null,7.95,7.31
SFM,0.065,23.9407,4.9705,23.8251,14.024,74.1865,1.17,22.44,21.55
SPSC,3.7852,-0.9276,3.0063,135.254,2.353,0,-0.14,75.74,63.5
SSNC,0.1444,13.301,3.1122,33.7812,5.957,76.1318,1.6,54.88,38.7
SSLJ,0.109,-21131.1061,null,null,null,9718.3195,-0.59,4.28,null
SSRM,8.0299,7.2858,null,null,3.166,23.2974,null,9.92,9.72
STAA,0.9702,-5.2919,14.9394,null,13.849,14.5496,-0.05,31.15,10.8
STAF,0.0629,null,0.5333,null,0.28,null,-36.9401,1.3243,3.55
STMP,1.3344,34.6005,6.6365,23.8332,9.667,13.8675,8.81,252.65,146.3
STND,null,null,1.0756,18.4512,0.023,83.5189,1.08,30.5,null
SBLK,1.1762,-0.9195,0.586,null,3.76,94.4058,-0.16,14.09,8.77
SBLKZ,null,null,null,null,null,null,null,null,null
SBUX,0.6375,50.903,15.0854,27.5157,4.758,72.1565,1.99,51.24,59.51
STFC,null,-1.2075,1.4016,null,18.518,13.8608,-0.25,32.39,25.64
STBZ,null,7.2264,1.8136,19.1469,4.204,3.9914,1.2,34.57,25.89
STDY,11.7754,-121.7407,3.1295,null,1.35,0,-0.95,4.525,6.6
GASS,0.6572,-0.2123,0.303,30.3214,0.436,67.1182,-0.03,3.93,3.15
STCN,0.8217,-34.6878,2.1968,null,0.27,94.8977,-0.47,2.1,1.5999
STLD,1.1844,25.8893,3.055,16.2962,3.741,71.0693,3.38,47.9,33.51
SMRT,0.0497,-41.0403,1.1526,14.4871,22.405,323.3272,-0.52,2.77,1.61
STLR,0.158,-0.4451,0.4177,null,1.82,0,-0.11,null,10.05
STLRU,0.158,-0.4451,null,null,8.19,0,null,null,null
STLRW,null,null,null,null,0.069,null,null,0.2205,0.325
SBOT,20.4562,-51.0383,1.1518,null,1.272,0,-3.43,1.84,8.75
STML,2.607,-129.4515,8.3894,null,8.19,0,-2.94,16.55,8.5
SRCL,0.0435,1.0945,2.6464,22.0359,8.106,124.934,0.27,64.26,77.21
SRCLP,null,null,null,null,null,null,null,null,null
SBT,null,17.4378,2.6969,15.4878,0.507,147.4175,0.82,14,null
STRL,0.4605,9.3397,3.116,36.3091,4.079,63.777,0.44,13.59,11
SHOO,1.187,15.2813,3.4145,20.7378,4.54,0,2.14,53.15,38
SSFN,null,6.3126,1.204,15.1005,1.121,118.2067,0.5,null,9.35
